Time,Rig,Inlet,Tube,Outlet
0.11987185478210449,-0.21253637245392823,-0.9884820562560621,-1.3885790494665375,-1.5825654704170709
0.24599909782409668,-0.21253637245392823,-0.9884820562560621,-1.3885790494665375,-1.5825654704170709
0.37305140495300293,-1.5583171677982544,-0.15191561590688654,-0.06704655674102815,-0.6126333656644035
0.49997448921203613,-1.5583171677982544,-0.15191561590688654,-0.06704655674102815,-0.6126333656644035
0.6266300678253174,-1.5583171677982544,-0.15191561590688654,-0.06704655674102815,-0.6126333656644035
0.7540225982666016,-1.5583171677982544,-0.15191561590688654,-0.06704655674102815,-0.6126333656644035
0.8810176849365234,-2.1160281280310382,1.1574927255092142,1.2302376333656644,0.13906401551891368
1.0082454681396484,-2.1160281280310382,1.1574927255092142,1.2302376333656644,0.13906401551891368
1.1348438262939453,-2.1160281280310382,1.1574927255092142,1.2302376333656644,0.13906401551891368
1.2617449760437012,-2.1160281280310382,1.1574927255092142,1.2302376333656644,0.13906401551891368
1.3884689807891846,-0.9157371483996122,3.4610814742967992,3.327715809893308,1.3999757516973812
1.5154547691345215,-0.9157371483996122,3.4610814742967992,3.327715809893308,1.3999757516973812
1.6427257061004639,-0.9157371483996122,3.4610814742967992,3.327715809893308,1.3999757516973812
1.7695906162261963,-0.9157371483996122,3.4610814742967992,3.327715809893308,1.3999757516973812
1.8966972827911377,0.9998787584869059,7.32868574199806,7.704534432589719,7.001333656644035
2.023280382156372,0.9998787584869059,7.32868574199806,7.704534432589719,7.001333656644035
2.150482177734375,0.9998787584869059,7.32868574199806,7.704534432589719,7.001333656644035
2.2775309085845947,0.9998787584869059,7.32868574199806,7.704534432589719,7.001333656644035
2.4044346809387207,3.048860329776916,9.547405431619786,9.935378273520854,8.43198351115422
2.531583547592163,3.048860329776916,9.547405431619786,9.935378273520854,8.43198351115422
2.6625776290893555,3.048860329776916,9.547405431619786,9.935378273520854,8.43198351115422
2.7891266345977783,3.048860329776916,9.547405431619786,9.935378273520854,8.43198351115422
2.9164135456085205,3.7520611057226,9.935378273520854,8.41985935984481,8.977570320077596
3.043329954147339,3.7520611057226,9.935378273520854,8.41985935984481,8.977570320077596
3.170488119125366,3.7520611057226,9.935378273520854,8.41985935984481,8.977570320077596
3.297416925430298,3.7520611057226,9.935378273520854,8.41985935984481,8.977570320077596
3.4285049438476562,3.2792192046556745,7.352934044616877,7.0740785645004856,6.67398157129001
3.5553927421569824,3.2792192046556745,7.352934044616877,7.0740785645004856,6.67398157129001
3.682415008544922,3.2792192046556745,7.352934044616877,7.0740785645004856,6.67398157129001
3.809757947921753,3.2792192046556745,7.352934044616877,7.0740785645004856,6.67398157129001
3.9364185333251953,2.6972599418040737,4.976600387972843,5.255455868089234,5.085717749757517
4.063340425491333,2.6972599418040737,4.976600387972843,5.255455868089234,5.085717749757517
4.190386533737183,2.6972599418040737,4.976600387972843,5.255455868089234,5.085717749757517
4.317179203033447,2.6972599418040737,4.976600387972843,5.255455868089234,5.085717749757517
4.444299221038818,2.078928225024248,2.4184044616876816,2.6487633365664403,2.9761154219204657
4.575375556945801,2.078928225024248,2.4184044616876816,2.6487633365664403,2.9761154219204657
4.7023138999938965,2.078928225024248,2.4184044616876816,2.6487633365664403,2.9761154219204657
4.829164505004883,2.078928225024248,2.4184044616876816,2.6487633365664403,2.9761154219204657
4.956171751022339,1.218113482056256,-0.32165373423860333,-0.018549951503394776,2.6123908826382154
